News Title,News Link,Publish Date,Description,Report Type,Accident Date,Time,Killed,Injured,Location,Road_Characteristic,Pedestrian_Involved,Vehicles Involved
Odd Signature vocalist Piyal among two killed in Narshingdi road crash,https://www.dhakatribune.com/bangladesh/346208/odd-signature-vocalist-piyal-killed-in-road,11/5/2024,"At least two people, including the vocalist of the musical band Odd Signature, were killed in a head-on collision between a bus and a microbus in Narsingdi.

The deceased have been identified as Ahasan Tanvir Piyal, 26, and the microbus driver Abdus Salam, 43.

Three other members of the band were also injured in the crash. They are Sakin, 26, Aqib, 26, and Amitabh, 27.

The incident took place in front of Dream Holiday Park in Panchdona at around 5am.

The band was heading towards Sylhet to perform in a program at MC College.

Itakhola Highway police station Officer-in-Charge (OC) Mohammad Ilyas Hossain said: ""The bodies of the two deceased are being sent to Narsingdi Sadar Hospital morgue for autopsy. Efforts are underway to contact their relatives. Further legal action will be taken if they come.”

Police said the bus that collided with the microbus belonged to Hanif Paribahan. The bus was seized from the Bhulta area. However, its driver is absconding.

Abdus Salam, the driver of the microbus, and Ahasan Tanvir Piyal, who was sitting next to him, were killed on the spot. Locals rescued three injured band members from the microbus and sent them to a local hospital.

After getting information, the members of the Madhabdi Fire Service recovered the two bodies.

Khairul Alam, station officer of Madhabdi Fire Service, said: ""We reached the spot and recovered the two bodies. Earlier, the locals rescued the injured and sent them to the hospital.”",Specific,11/5/2024, 5am,2,3," Narsingdi, in front of Dream Holiday Park in Panchdona", Highway, No,Bus-Microbus
3 killed as truck rams auto-rickshaw in Sherpur,https://www.dhakatribune.com/bangladesh/nation/345947/3-killed-as-truck-rams-auto-rickshaw-in-sherpur,8/5/2024,"Three passengers of an autorickshaw were killed and three others injured as a truck rammed the vehicle in Paiska Bypass area of Sherpur's Nakla upazila on Tuesday.

Nakla police station Officer-in-Charge (OC) Abdul Quader Mia confirmed the casualty in the road accident.

The deceased are Raja Mia, 55, Zabeda Begum, 75, and Abeda Khatun, 50.

Among the injured, Sultana, 45, has been admitted to Sherpur District Hospital.

The other two have been admitted to Nakla Upazila Health Complex and Mymensingh Medical College Hospital.

According to police sources, a speeding truck overturned an auto-rickshaw in Paiska Bypass area of ​​Nakhla around 9:30pm on Tuesday. Auto-rickshaw passenger Raja Mia and his mother-in-law Zabeda Begum died on the spot.

OC Abdul Quader Mia said: ""Two died on the spot. Abeda Khatun died on the way to Mymensingh Medical College Hospital. The autorickshaw passengers were returning from a namaz-e-janaza in Phulpur.”",Specific,7/5/2024, 9:30pm,3,3, Paiska Bypass area of Sherpur's Nakla upazila, Bypass, No,Truck-Autorickshaw
3 of a family killed in Munshiganj road accident,https://www.dhakatribune.com/bangladesh/nation/345577/3-of-same-family-killed-in-munshiganj-road,4/5/2024,"Three members of the same family were killed while two others were injured in a road accident in the Gazaria section of Munshiganj on the Dhaka-Chittagong highway.

The incident took place in front of Mana Bay water park in Baushia area of ​​the upazila around 1:45am on Saturday.

The deceased are Alamgir Hossain, 50, son of Hossain Ali Bepari of Kadra village in Shahrasti upazila of Chandpur, his younger son Zahirul Islam, 30, and his maternal aunt Rahela Begum, 50.

The injured are Alamgir Hossain's elder son Nazrul Islam, 35, and driver Ibrahim Khalil Sujan, 32.

Ghazaria highway police outpost in-charge Md Humayun Kabir said: “The bodies are currently in the police outpost. Efforts are on to identify the covered van. Legal action in this regard is under process.”

He also said: “A car carrying them to Dhaka was hit by a covered van from behind when it came in front of the Mana Bay water park early Saturday. The car fell into the ditch on the side of the road. At that time, three people including Alamgir Hossain died on the spot. The fire service workers rescued the two injured including the driver and sent them to the upazila health complex.”",Specific,4/5/2024, 01:45,3,2, Gazaria section of Munshiganj on the Dhaka-Chittagong highway, Highway, No,Car-Covered Van
BRTA: Road accidents claimed 632 lives in April,https://www.dhakatribune.com/bangladesh/346218/brta-632-killed-in-658-road-accidents-in-april,11/5/2024,"A total of 632 people were killed, and 866 people were injured in 658 road accidents across Bangladesh during Ramadan and Eid in April.

This information was revealed in the monitoring report of the Bangladesh Road Transport Authority (BRTA) on Thursday.

According to reports, the statistics on national road accidents were collected through the regional offices of BRTA.

According to the statistics, the most road accidents occurred in the Chittagong division, with 135 accidents resulting in 123 deaths and 227 injured. Following Chittagong, the Dhaka division recorded 108 accidents with 115 fatalities and 157 injured.

Additionally, in the Rajshahi division, there were 100 accidents with 93 deaths and 112 injured; in the Khulna division, 98 accidents with 87 deaths and 95 injured; in the Barisal division, 45 accidents with 49 deaths and 64 injured; in the Sylhet division, 34 accidents with 38 deaths and 64 injured; in the Rangpur division, 68 accidents with 65 deaths and 64 injured; and in the Mymensingh division, 70 accidents with 62 deaths and 83 injured.

In terms of fatalities, motorcycles were involved in the most accidents, with 252 leading to 191 deaths. Following closely behind were trucks and covered vans, with 170 accidents resulting in 62 fatalities.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
9 killed as truck plunges into ditch in Rangamati,https://www.dhakatribune.com/bangladesh/nation/344816/six-killed-as-truck-plunges-into-ditch-in-sajek,24-04-2024,"At least nine people were killed and five others critically injured as a truck plunged into a ditch in the 90 degree area of Sajek Udaipur border road in Baghaichhari of Rangamati on Wednesday.

The tragic road crash took place around 5pm.

The identities of the deceased workers could not be known yet.

The injured were rescued and sent to Dighinala Health Complex in Khagrachari with the help of Army and BGB.

Baghaichhari Upazila Nirbahi Officer Shirin Akter confirmed the accident and said that six workers died on the spot after falling into a mountain ditch on their way back after work.

Among them, three succumbed to their injuries at hospitals.

Baghaichhari Circle Officer, Senior Assistant Superintendent of Police Abdul Awal Chowdhury said that on the way back in a truck after work on the border road, the vehicle lost control and plunged into a 100-foot-deep ditch.

After getting the news from the locals, the police were sent to the spot, he added.

The victims were engaged in road construction work along the Udaipur border, said the UNO.",Specific,24-04-2024, 17:00,9,5," Sajek Udaipur border road, Baghaichhari, Rangamati", Border road, No,Truck
"Bus driver’s drowsiness, speeding killed 15 people in Faridpur crash",https://www.dhakatribune.com/bangladesh/344579/report-bus-driver%E2%80%99s-drowsiness-killed-15-people,22-04-2024,"The seven-member probe body formed to investigate the road accident in Faridpur on April 16 that killed 15 people has identified that the speed of both the bus and the pickup van and the drowsiness of the bus driver were the reasons behind the road crash.

The committee, headed by Faridpur Additional District Magistrate Md Ali Siddiqui, submitted the report to Deputy Commissioner Md Quamrul Ahsan Talukder on Sunday afternoon.

DC Qamrul Talukder said the committee will forward the report to the higher authorities to take measures as per the report.

Probe committee head Md Ali Siddiqui said: “We talked to people from all departments concerned about the accident. I visited the spot and tried to find out why this tragic accident occurred. I tried to make some recommendations to prevent deaths in road crashes.”

The report blames the bus driver's drowsiness due to driving for a long time during Eid and the overspeeding of the bus and the pickup van for the fatal accident.

The report also put forward some recommendations to prevent such road accidents.

All those driving on the roads or highways should know and abide by the relevant laws. Road dividers should be in place or roads would be widened in accident-prone areas, drivers of vehicles should not drive without a break, autorickshaws or small risky vehicles should not be allowed on the highways, said the report.

On April 16, at least 15 people, including six women and two children, were killed and 15 others were injured in a head-on collision between the bus and the pickup van on the Dhaka-Khulna highway in Sadar upazila.

All the victims were passengers of the pickup van, although carrying passengers in pickup vans or trucks is prohibited in the country.

The deceased included five members of a family.

Later, the Rapid Action Battalion (RAB) arrested bus driver Khokan Mia from Jhenaidah.A case was filed against the bus driver with Kotowali police station in this regard.",Specific,16-04-2024, Unknown,15,15, Dhaka-Khulna highway in Sadar upazila, Highway, No,Bus-Pickup van
Accident near Dhaka Airport: Bus driver detained from Barisal,https://www.dhakatribune.com/bangladesh/nation/344415/accident-near-dhaka-airport-bus-driver-detained,20-04-2024,"The Rapid Action Battalion (RAB) detained the driver of the Raida Paribahan bus that rammed a motorcycle near Hazrat Shahjalal International Airport in Dhaka killing an engineer of the Civil Aviation Authority of Bangladesh on Friday.

The bus struck the motorcycle before crashing through the outer wall in front of the airport’s third terminal.

RAB-8 Commanding Officer Lt Col Kazi Zubaer Alam Shovon said that a joint team of RAB-8 and RAB-1 arrested Mahmud Hasan from Barisal and was taken to Dhaka.

Following the accident, the driver went into hiding in Barisal.

Airport Police Station Sub-inspector Suman Chandra Das said that the bus lost control and wrecked the security boundary of the third terminal. At that time, Maidul Islam, 40, a senior sub-assistant engineer of civil aviation, was riding his motorcycle on the road. The bus rammed his motorbike as well.

Later, he was taken to Kurmitola General Hospital with critical injuries where he was declared dead by the doctor on duty, he added.",Specific,19-04-2024, Not mentioned,1, Not mentioned," Near Hazrat Shahjalal International Airport, Dhaka", Road, No,Bus-Motorcycle
Three killed in van-truck collision in Khulna-Mongla highway,https://www.dhakatribune.com/bangladesh/nation/345013/three-killed-in-van-truck-collision,27-04-2024,"Three passengers of an engine-driven van were killed while two sustained injuries when a Mongla-bound truck ran over them at Bagerhat's Rampal upazila.

The incident took place at the Chairman's junction of Khulna-Mongla highway around 7:30am on Saturday.

The deceased are Saeed Moral, son of Rezzak Moral of Jhanjhania area of ​​Rampal upazila, Azad Moral, son of Ekhlas Moral of the same area and Mohammad Moni Mallik, son of Maqbul Mallick of Gabbunia Kumlai area.

Confirming the incident, Bagerhat district police Special Branch Inspector Mohammad Babul Akhter said that traffic had resumed normalcy after the collision. The truck involved in the accident was seized by Katakhali Highway police station, and the bodies of the deceased were taken to Rampal Upazila Health Complex for legal procedures before being handed over to their respective families.

Reports indicate that the collision occurred when a Mongla-bound truck collided with the engine-driven van in the Chairman's junction area. Saeed Moral, 45, succumbed to his injuries at the scene, while four others, including the van driver, sustained injuries and were rushed to Rampal Upazila Health Complex. Doctors later declared two more individuals dead.",Specific,27-04-2024, 7:30am,3,2," Chairman's junction of Khulna-Mongla highway, Rampal upazila, Bagerhat", Highway, No,Truck-Van
2 killed as bus rams auto-rickshaw in Chittagong,https://www.dhakatribune.com/bangladesh/nation/344404/2-killed-as-bus-rams-auto-rickshaw-in-chittagong,20-04-2024,"Two people were killed and four others injured when a bus rammed into a CNG-run auto-rickshaw on Dhaka-Cox’s Bazar highway in Patiya upazila of Chittagong district on Friday night.

The deceased were identified as Abu Bakkar Tasif, 18, of Chandanaish upazila and Nurul Amin, 27 of Cox’s Bazar district.

Toufiqul Islam, officer-in-charge of Patiya Crossing Highway Police said the accident occurred near Kharna Chairman Ghat area around 10 pm when the Chittagong-bound “Marsa Paribahan” hit a CNG-run auto-rickshaw, leaving six people injured.

Later, they were taken to Chandanaish BGS Trust Hospital where the doctors declared two of them dead.",Specific,19-04-2024, 10 pm,2,4," Patiya upazila, Chittagong district", Highway, No,Bus-Auto-rickshaw
1 killed as bus wrecks Dhaka airport third terminal’s boundary wall,https://www.dhakatribune.com/bangladesh/dhaka/344363/bus-breaks-airport-third-terminal%E2%80%99s-boundary-1,19-04-2024,"A local bus, named Raida Paribahan, toppled the boundary wall of Hazrat Shahjalal International Airport's third terminal after killing a motorcyclist in Dhaka.

The accident took place in front of the Dhaka Elevated Expressway at around 10am on Friday.

Airport Police Station Sub-inspector Suman Chandra Das said that the bus lost control and wrecked the security boundary of the third terminal. At that time, Maidul Islam, senior sub-assistant engineer of civil aviation, was riding his motorcycle on the road. The bus rammed his motorbike as well.

Later, he was taken to Kurmitola General Hospital with critical injuries where he was declared dead by the doctor on duty, he added.

He also said that the body had been sent to Dhaka Medical College Hospital morgue for autopsy. The bus driver and helper involved in the incident escaped. But the bus has been impounded. Legal proceedings in this regard are ongoing.",Specific,19-04-2024, 10:00,1,0, Dhaka, Elevated Expressway, No,Bus-Motorcycle
"Truck driver, helper sent to jail over Jhalakathi road fatalities",https://www.dhakatribune.com/bangladesh/nation/344332/truck-driver-helper-sent-to-jail-over-jhalakathi,18-04-2024,"A Jhalokathi court has sent the truck driver and his helper to jail in a case filed over a road accident that left 14 people dead near Gabkhan Bridge in the Jhalakathi municipality area on Wednesday.

Senior Judicial Magistrate Moniruzzaman passed the order on wednesday after driver Al-Amin Hawlader, 29, and his assistant Nazmul Sheikh, 22, were produced before him, said Court Police Inspector Kamruzzaman.

Earlier in the day, Hadiur Rahman, younger brother of one of the dead, Hasibur Rahman, lodged the case under Section-105 of the Road and Transport Act at Jhalakathi Sadar police station against the two arrestees.

Jhalakathi Detective Branch of Police Officer-in-Charge (OC) Moniruzzaman said that after the incident, with the help of locals, the driver and the helper of the truck were detained from village Basanda, three kilometers away from the incident site.

Jhalakathi Sadar police station OC Shahidul Islam said that the arrested Al Amin did not have a license to drive the heavy vehicle.

“He was driving with a license for driving light vehicles,” he added.

The accident took place at around 1:30pm on Wednesday when the Barisal-bound cement-laden truck ploughed through five vehicles, including a microbus carrying a bridal party, three auto-rickshaws, and one pickup van standing in front of the toll gate near Gabkhan Bridge.

It then fell into a roadside ditch, leaving fourteen people dead and 25 others injured. The microbus and the auto-rickshaw were badly crushed.

Eight people died on the spot, four succumbed to their injuries at Jhalakathi Sadar Hospital and two others at Barisal Sher-e-Bangla Medical College Hospital.

Moreover, two injured passengers are undergoing treatment at Jhalakathi Sadar Hospital and another nine at Barisal Sher-e Bangla Medical College Hospital.",Specific,17-04-2024, 13:30,14,25, Near Gabkhan Bridge in the Jhalakathi municipality area, Road, No,Truck-Microbus-Auto-rickshaw-Pickup van
"Road accidents: 320 killed in a year on Dhaka-Khulna, Barisal highways",https://www.dhakatribune.com/bangladesh/nation/344408/road-accidents-320-killed-in-a-year-on,20-04-2024,"Roads in Bangladesh have become more dangerous, with fatalities and injuries almost every day, and the two highways from Dhaka to Khulna and Barisal are two of those that have witnessed 320 fatalities in the past year.

Unskilled drivers, over-speed, negligence of authorities concerned and rules violation are blamed for the frequent road accidents on highways, although the highway police claimed that several measures have been taken to reduce road accidents.

The recent deadly road crash on Dhaka-Khulna highway that claimed 15 lives raised questions about whether these measures were adequate to control the fatal accidents.

On April 16, 15 people including five members of a family, died in a collision between a bus and a pick-up van on Dhaka-Khulna highway at Kanaipur, Faridpur district.

A five-member probe body was formed to investigate the accident and two more members, including an expert from Buet, were also included in the committee, headed by Additional district Magistrate Ali Siddique.

The committee was asked to submit its report within three working days. At least one representative from the Roads and Highways division, Highway police, district police and Fire Service were also included in the committee.

National Committee to protect Shipping, Roads and Railways (NCPSRR) said the authorities concerned, including police and BRTA, cannot avoid responsibility for the Faridpur road crash on Dhaka-Khulna highway.

Condemning the authorities’ negligence, the NCPSRR said although carrying passengers on trucks, pick-up vans and good- laden vehicles is prohibited the vehicle was heading towards Dhaka from Faridpur’s Boalmari with 25-30 passengers on board.

On March 8, three people died and ten others were injured when a bus overturned on Dhaka-Barisal highway in Bhanga.

Besides, nine people died in separate accidents in January.

Roads and Highways division and highway police blame over-speed, unskilled drivers, reckless plying of motorbikes and pedestrians’ desperate bid to cross the highways behind the accidents and fatalities.

According to Faridpur Highway Police sources, the length of the Bangabandhu Expressway from Jatrabari in Dhaka to Bhanga in Faridpur is 55 kilometers. Of these, 32 kilometers are from Jatrabari to Padma Bridge and 23 kilometers from Janjira to Bhanga.

In the last year, 131 people were killed in 135 accidents on the expressway, and of these, 63 accidents occurred in Bhanga portion that claimed the lives of 67 people.

There are five highway police stations, one police outpost, and two camps under the 381 km highway in Madaripur region.

Shahinur Alam Khan, superintendent of Madaripur Region highway police, said a number of measures have been taken to prevent road crashes.

In the past one year, 28,404 cases were filed, and Tk9.43 crore was fined for reckless driving on the two highways, said the SP.

Besides, 271 cases were filed in 432 road accidents on the Dhaka-Khulna and Dhaka-Barisal highways, he said.

Morshed Alam, superintendent of Faridpur police, said the owners and transport workers must play a big role alongside the passengers to stop accidents on highways.

Besides, the residents along the highways have to be more responsible while using highways, he said.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Couple killed in Naogaon bike collision,https://www.dhakatribune.com/bangladesh/nation/344200/couple-killed-in-naogaon-bike-collision,17-04-2024,"A couple was killed while two others including the couple's son were injured in the collision between two motorcycles in Sahapur area of Naogaon Sadar.

The accident took place on Wednesday around 11:30am, according to Mahmudul Hasan, Deputy Assistant Director of Naogaon Fire Service Civil Station.

The deceased are Enamul Haque, 40, son of Akram of Raikali village of Akkelpur upazila of Joypurhat and his wife Bristy Khatun, 32. Enamul Haque was a member of Bangladesh Ansar.

The injured are Junaid Islam, 5, son of the deceased couple, and another motorcycle rider, Sirajul Islam, 50.

Deputy Assistant Director Mahmudul Hasan said that according to eyewitnesses, the couple along with their son, were going to Bogra from Naogaon on a motorcycle. Another motorcycle coming from the opposite direction lost control and hit them.

“They fell on the road and were hit by a pick-up van coming from behind. The husband and wife died on the spot.""

Zahidul Haque, OC of Naogaon Sadar Model police station, said that the site is being inspected.

The injured child Junaid and another motorcycle rider were rescued and admitted to Naogaon General Hospital. Currently, both of them are undergoing treatment.

The police said that the bodies will be handed over to the relatives after completing legal process.",Specific,17-04-2024, 11:30am,2,2, Sahapur area of Naogaon Sadar, Road, No,Motorcycle-Motorcycle-Pick-up van
"Truck rams into 10 vehicles at toll plaza, killing 14 in Jhalakathi",https://www.dhakatribune.com/bangladesh/nation/344189/atleast-7-killed-in-jhalakathi-road-accident,17-04-2024,"At least 14 people, including children, were killed and 25 others were injured when a speeding cement-laden truck ran through several vehicles before plunging into a roadside ditch near Gabkhan Bridge in Jhalakathi municipality area on Wednesday.

The local administration has already formed a four-member probe over the incident. The committee has been asked to submit its report within five working days.

Of the deceased, four were children, three were women and the rest were men. The police with the help of the locals managed to identify five of them. They are Atiqur Rahman Sadi, 11, Tahmina, 25, Nazrul, 35, Imran Hossain, 40, Safiqul Majhi, 50, Noor Jahan, and the driver of the private car Ibrahim, 40. They hail from Rajapur, Bhandaria and Kathalia upazilas of the district.

The accident took place at around 1:30pm when the Barisal-bound truck ploughed through five vehicles, including a microbus carrying a bridal party, three auto-rickshaws, and one pickup van standing in front of the toll gate. It then fell into the roadside ditch, leaving fourteen people dead and 25 others injured. The microbus and the auto-rickshaw were crushed severely.

Shahidul Islam, officer-in-charge of Jhalakathi Sadar Police Station told journalists that six people died on the spot and six others succumbed to their injuries at Jhalakathi Sadar Hospital.

Two more succumbed to their injuries at Barisal Sher-e-Bangla Medical College Hospital (SBMC), where 11 wounded persons were taken after the accident.

Police, fire service and locals carried out the rescue operation, law enforcers said.

Acting Assistant Director of Barisal Fire Service and Civil Defense Belal Uddin said: ""A crowd at the scene had disrupted our rescue operation. But we managed to send the injured to hospitals despite all hurdles.”

Locals said that at the time of the crash, vehicles were waiting at the toll plaza.

Abul Bashar (50), a worker at the toll plaza, said that several private cars and three battery-powered auto-rickshaws were slow in paying the toll. Suddenly, the sand-laden truck hit them recklessly and fell into the nearby ditch. It crushed under it three auto-rickshaws, a microbus, a pickup van, toll collectors and others waiting to pay the toll.

Police said that the truck's driver Al Amin, 29, and his assistant Nazmul, 22, had been detained and the vehicle was seized following the crash.

District Deputy Commissioner Farha Gul Nijhum said: “The families of the deceased will get Tk5 lakh and injured persons will receive Tk1 lakh each. However, those who have been severely injured and are crippled will get Tk3 lakh per person from the local administration.”

Locals fear that the death toll might rise further.",Specific,17-04-2024,1:30pm,14,25, Near Gabkhan Bridge in Jhalakathi municipality area, Roadside ditch, No,Truck-Microbus-Auto-rickshaw-Pickup van
Ensuring road safety should never take a backseat,https://www.dhakatribune.com/opinion/editorial/344172/ensuring-road-safety-should-never-take-a-backseat,17-04-2024,"It is unfortunate how the Eid holidays in Bangladesh have once again highlighted the pressing issue of road safety in the country; according to a report by Dhaka Tribune, road crashes claimed the lives of 34 individuals during this period.

To say that there is an urgent need for enhanced safety measures would be an understatement, but with this spike in deaths during holidays becoming a most undesirable norm, safety measures are particularly salient during major holidays.

Bangladesh has long been struggling with a high rate of road traffic accidents, with holidays often exacerbating the situation. Factors such as reckless driving, inadequate road infrastructure, and lax enforcement of traffic laws have further compounded the risks faced by commuters as well as pedestrians during these times.

Immediate action is the need of the hour, from both the government and the public. It starts with the government truly prioritizing road safety. Investing in better infrastructure is the logical first step, including the expansion and improvement of road networks. Too often, it is our inadequate roads and highways that cause the issues.

With that said, arguably the worst offense continues to be the presence of unfit vehicles on the road combined with unfit drivers, those without licenses and proper training. It is mind boggling how, despite repeated calls to address and fix the issue, this continues to not only persist but arguably worsen with time. Stricter enforcement of traffic laws and harsh penalties for offenders are essential to deter reckless driving behaviours, and it is disheartening how we fail to ensure this time and time again.

The recent spate of road crashes during the Eid holidays serves as a stark reminder of the urgent need for enhanced road safety measures in Bangladesh. There can be no Smart Bangladesh if our people keep dying on the roads.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Education office official killed, another official's leg amputated in Lohagara bus crash",https://www.prothomalo.com/bangladesh/district/9e893suibo,5/10/2024,"&lt;p&gt;An official of the education office was killed after being hit by a passenger bus in Lohagara upazila of Narail. The accident took place on the Dhaka-Jesore highway in Maitkumra area of ​​Lohagara Municipality at around seven o'clock this Saturday. Local residents blocked the highway after the incident.&lt;/p&gt;&lt;p&gt; Name of the deceased officer. Rifatul Islam (38). He is the son of deceased Belayet Hussain of Kundashi village of Lohagara Municipality. He was working as assistant inspector in Gopalganj district secondary education officer's office.&lt;/p&gt;.&lt;p&gt;Another officer of BCS education cadre named Azad Mia was seriously injured in the accident. He is working on a project of the Ministry of Education. His right leg was amputated in the accident. He is being taken to Dhaka for better treatment. The injured Azad Mia is the son of Shahabuddin Mia of Doamallikpur village in Upazila. Another rider of that motorcycle, Jiku Mia (26), is unharmed. &lt;/p&gt;&lt;p&gt;It is known that after talking to the police, local residents and some eyewitnesses, the three were going to Bhatiapara junction in Gopalganj on a motorcycle. On the way, their motorcycle collided head-on with a bus of Sohag Paribahan traveling to Narail. Deceased Rifatul Islam was driving the motorcycle. Azad Mia was sitting in the middle of the motorcycle and Ziku Mia was sitting behind. The motorcycle was crushed in the accident. Rifatul was recovered dead from the spot.&lt;/p&gt;.&lt;p&gt;Ziku Mia, the rider of that motorcycle, told Prothom Alo that Azad Mia was supposed to go to Dhaka. For this, the three of them were going to Bhatiapara intersection on a motorcycle to drop him on the Dhaka bus. Azad Miah is the uncle of the deceased Rifatul. Azad's elder brother Helal Mia said that Azad's condition is critical. He is being taken to Dhaka.&lt;/p&gt;.&lt;p&gt;Meanwhile, local people blocked the highway at that place for about an hour after the accident. Traffic stopped on the Dhaka-Jesore highway. Numerous vehicles were stuck on both sides of the road. Later, army and police personnel went to the spot and brought the situation under control.&lt;/p&gt;&lt;p&gt;Inspector (Investigation) Abdullah Al Mamun, who is in charge of the officer in charge (OC) of Lohagra police station, told Prothom Alo that measures are being taken to arrest the driver of the vehicle of Sohag Paribahan. . The body of the deceased has been handed over to the family.&lt;/p&gt;",Specific,5/10/2024, around seven o'clock,1,1," Maitkumra area of Lohagara Municipality, Narail", Dhaka-Jesore highway, No,Motorcycle-Bus
A policeman was killed in a collision between a truck and a motorcycle in Sylhet,https://www.prothomalo.com/bangladesh/district/z0nigj497g,5/10/2024,"&lt;p&gt;A policeman was killed in a collision between a truck and a motorcycle in Sylhet. The accident took place in the Salutikar Chalia area of ​​the Sylhet-Kompaniganj-Bholaganj highway on Friday evening. He was working in the Industrial Police (Sylhet region).&lt;/p&gt;.&lt;p&gt;According to the police and local residents, Atiqur was coming towards Sylhet from Companyganj on a motorcycle along with another policeman. On the way, the motorcycle collided with a truck when it reached Salutikar Chalia area. Atikur died on the spot. Another policeman who was with him was injured. &lt;/p&gt; Anisur Rahman told Prothom Alo that the truck driver fled immediately after the incident. However, the truck was seized and taken to the police station. Atikur's body has been sent to Sylhet MAG Osmani Medical College Hospital morgue. It will be handed over to the family at the end of the legal process.&lt;/p&gt;",Specific,4/10/2024, evening,1,1," Salutikar Chalia, Sylhet-Kompaniganj-Bholaganj highway", highway, no,Truck-Motorcycle
"Three people, including the autorickshaw driver, were killed after being hit by a truck in Jamalpur",https://www.prothomalo.com/bangladesh/district/4a94o6b2fo,4/10/2024,"&lt;p&gt;Three people, including the autorickshaw driver, were killed when a battery-operated autorickshaw was hit by a truck in Jamalpur Sadar. The accident took place on the Jamalpur-Tangail highway in Tubewelpara intersection of the upazila at around 9 o'clock today.&lt;/p&gt;&lt;p&gt;Mostafizur Rahman, the senior teacher of Beltia Kamil Madrasa in Jamalpur city and Naib Amir of Sadar Upazila of Jamaat-e-Islami, was among the dead. Apart from this, the other two are autorickshaw driver Rokan Mahmud (45), a resident of Kapasahatia area of ​​Melandah upazila and Abdul Malek (50) of Sheikh Sadi area of ​​the same upazila. &lt;/p&gt;.&lt;p&gt; According to police and local sources, Kendua of Sadar upazila this morning. Auto rickshaw driver Rokan Mahmud was coming from Kalibari area towards Jamalpur city with two passengers. On reaching Tubewelpara area of ​​the city, a truck hit the back of the autorickshaw. The driver was killed on the spot. Local people rescued two others injured and took them to Jamalpur General Hospital. Abdul Malek died in the hospital. Mostafizur Rahman died on the way to Mymensingh Medical College Hospital. &lt;/p&gt;.&lt;p&gt; Jamalpur Sadar police station officer-in-charge Abu Faisal Md. Atik said that the bodies of the two are in the hospital morgue. Legal action will be taken if there is a complaint in this incident.&lt;/p&gt;",Specific,4/10/2024, 09:00,3,2, Jamalpur Sadar, Jamalpur-Tangail highway, No,Autorickshaw-Truck
"4 killed, 8 injured in bus-truck collision in Tangail",https://www.prothomalo.com/bangladesh/district/6ujwmnftqy,4/10/2024,"&lt;p&gt;Four killed in bus-truck collision in Tangail's Kalihati. At least eight people were injured in this incident. Yesterday&nbsp;The accident took place at Sholakura area of ​​Tangail-Mymensingh road after crossing the Yamuna bridge link road at around one o'clock on Thursday.&lt;/p&gt;&lt;p&gt; The injured were rescued and admitted to Tangail General Hospital. &lt;/p&gt;.&lt;p&gt;After this accident, severe traffic jam was created on the Yamuna Bridge link road till this morning.&lt;/p&gt;&lt;p&gt;Elenga Highway Outpost Officer-in-Charge (OC) Mohammad Nannu Khan said, Dhaka A bus bound for Jamalpur was crossing the Bangabandhu Bridge link road of Tangail Mymensingh road around 1 am. The bus collided head-on with a cargo truck coming from Kalihati in Sholakura area of ​​Tangail-Mymensingh road. Four people were killed on the spot. At least eight people were injured. The injured persons were rescued and sent to Tangail General Hospital.&lt;/p&gt;.&lt;p&gt;Mohammed Nannu Khan also said that the identity of the deceased is not yet known. The bodies have been kept at Tangail General Hospital morgue.&lt;/p&gt;",Specific,3/10/2024, 01:00 am,4,8," Sholakura area, Tangail-Mymensingh road", Road, No,Bus-Truck
"A young man was killed by a bus in Gazipur, three buses were set on fire by angry people",https://www.prothomalo.com/bangladesh/district/lrd12hd9xt,2/10/2024,"&lt;p&gt;Dhaka-Mymensingh highway, a young man was killed by a bus in Bogra bypass area of ​​Gazipur city. After this incident on Wednesday at 9:30 pm, the local crowd set fire to three buses. &lt;/p&gt;&lt;p&gt;Police and local people said that a young man was going towards Tongi on a motorcycle from Gazipur city. After arriving at Columbia Garments area of ​​Bogra Bypass of the metropolis at around 9:30 PM, the bus collided with the Balaka Paribahan heading to Gazipur from Dhaka. The young man on the motorcycle was crushed under the bus and died on the spot.&lt;/p&gt;.&lt;p&gt;At that time, workers of nearby factories and excited crowd set fire to three buses of Balaka Paribahan. Gazipur fire service members came to the spot after receiving the news. However, due to the excited crowd, they returned without extinguishing the fire. &lt;/p&gt;. The driver dragged the pedestrian for a kilometer and set fire to the bus. A bus was completely burnt. The other two are on fire. The fire service vehicle could not reach the spot due to the crowd of excited people. &lt;/p&gt;&lt;p&gt; Inspector (Investigation) Nandalal Chowdhury of Gazipur's Basan police station said that a young man died on the spot after being crushed by the bus. His identity was not immediately known. Local people sent him to the hospital. Due to this incident, the excited crowd set fire to three buses of Balaka Paribahan. Even though the fire service came on being informed, they went back without extinguishing the fire due to the fear of the crowd.&lt;/p&gt;",Specific,2/10/2024, 21:30,1,0, Bogra bypass area of Gazipur city, Dhaka-Mymensingh highway, No,Bus-Motorcycle
