News Title,News Link,Publish Date,Description,Report Type,Gemini_responses
"Two killed, 3 injured in Dhaka road crash",https://www.dhakatribune.com/bangladesh/349637/two-killed-3-injured-in-dhaka-road-crash,18-06-2024,"Two individuals were killed and three others injured in a car accident at the Bangabandhu International Conference Center in Sher-e-Bangla Nagar, Dhaka.

The incident occurred early Tuesday, during the night of Eid.

The deceased are Sayem Reza Rabbi, 28, a pharmacy business owner, and his friend Mohammad Rasel, 30, employed by a private company.

The injured include Ratul, 27, Sagar, 28, and Biplob, 30. They all went out for a drive in Dhaka on Eid night.

According to Rabbi's father, they were driving in Ratul's private car and lost control near the eastern side of the Bangabandhu International Conference Center, crashing into a tree. This resulted in serious injuries to all five friends.
• Two people hacked to death in Bogra, one wounded

Later, they were taken to the emergency department of Dhaka Medical College Hospital (DMCH) around 1:30am on Monday, where duty doctor Rabbi and Rasel declared them dead.

The injured Ratul and Sagar receive treatment at DMCH, while Biplob is admitted to another private hospital in Dhaka.

DMCH Police Outpost Assistant Sub-inspector (ASI) Md Masud Mia said: “The bodies are kept in the hospital morgue.”",Specific,"Specific<sep>18 Jun 2024, 03:55 PM<sep>Tuesday, during the night of Eid<sep>early Tuesday, around 1:30am on Monday<sep>2<sep>3<sep>Bangabandhu International Conference Center in Sher-e-Bangla Nagar, Dhaka<sep>Not mentioned<sep>No<sep>car<sep>Dhaka"
Private car-human hauler collision leaves 2 dead in Tangail,https://www.dhakatribune.com/bangladesh/nation/349857/private-car-human-hauler-collision-leaves-2-dead,21-06-2024,"Two people were killed and eight injured in a collision between a human hauler and a car in Tangail's Madhupur on Friday.

The identities of the deceased could not be ascertained immediately.

The OC said that the private car was heading towards Tangail from Madhupur this morning.



Around 9:30am, the private car collided with the han hauler coming from the opposite direction in Malauri area and the car caught fire.

A passenger of the human hauler died on the spot and nine others from both vehicles sustained injuries.

Madhupur Police Station SI Nurul Amin said: “Injured were taken to Madhupur Upazila Health Complex. Later, another died on the way to Mymensingh Medical College Hospital.",Specific,"Specific<sep>21 Jun 2024<sep>21 Jun 2024<sep>9:30am<sep>2<sep>8<sep>Malauri area, Madhupur<sep>Not mentioned<sep>No<sep>car-human hauler<sep>Tangail"
9 dead as bus catches fire in India,https://www.dhakatribune.com/world/south-asia/346823/9-dead-as-bus-catches-fire-in-india,18-05-2024,"At least nine people were killed and several injured as a bus caught on fire in Haryanastate of India.

The incident took place around 1:30amon Saturday, in Nuh, Haryana with the bus carrying approximately 60 passengers, mostly pilgrims.

Of the deceased, six were women, and three were men, India Today reports.

The cause of the fire is yet to be determined. ""The ill-fated bus was returning to Punjab when it suddenly caught fire,"" stated a police official.

An elderly woman, who escaped the fire, said: ""I heard a sound from under the bus. I thought the vehicle was plying on an elevated structure on the road; hence it made the sound. However, later there was a smell as well. A biker who was behind the bus for several kilometres overtook and came to the front, and told the driver that the bus had caught fire. I was sitting in one of the front seats, so I jumped.”

Despite efforts from bystanders, including a shop owner who attempted to rescue trapped passengers by breaking windows, the fire became too fierce.

The police said the matter was under investigation.",Specific,"Specific<sep>18 May 2024<sep>18 May 2024<sep>1:30 am<sep>9<sep>Several<sep>Nuh, Haryana<sep>Not mentioned<sep>No<sep>bus<sep>Foreign"
5 dead as bus plunges into ditch in Comilla,https://www.dhakatribune.com/bangladesh/nation/346722/5-dead-10-injured-as-bus-plunges-into-ditch,17-05-2024,"A bus veered into a roadside ditch on the Dhaka-Chittagong highway in the Chauddagram area of Comilla early on Friday morning, resulting in the deaths of five people and injuring at least 15 others.

Two of the deceased were Mohammad Hossain, 30, and Badrul Hasan Riyad, 26. The identities of the other deceased are currently unknown.

The bus, operated by Relax Transport, was travelling from Dhaka to Cox’s Bazar when the driver lost control, causing the accident, Mia Bazar highway police station Sub-Inspector Nazrul Islam said.

Biplab Kumar Nath from the Chauddagram fire station said the injured had been transported to Chauddagram Upazila Health Complex.

Four of them were later transferred to Comilla Medical College Hospital for better treatment.

He mentioned that with the assistance of police and locals, the bodies of the five victims had been recovered from the bus.",Specific,"Specific<sep>17 May 2024, 10:23 AM<sep>Friday morning (deduced as 17 May 2024)<sep>early morning<sep>5<sep>15<sep>Chauddagram area of Comilla<sep>highway<sep>No<sep>bus<sep>Comilla"
Report: Road accidents claimed 708 lives in April,https://www.dhakatribune.com/bangladesh/347180/jatri-kalyan-samity-road-accidents-claimed-708,22-05-2024,"As many as 708 people died and 2,426 were injured in 683 road accidents across the country in April, said a report of the Bangladesh Jatri Kalyan Samity.

Besides, 47 people were killed and 36 were injured in 44 railway accidents while eight people were killed, 10 injured, and one is still missing in six waterway accidents, it said.

The report was published on Wednesday analysing accident reports published in the country's national and regional dailies and online media during the period and a press release in this regard signed by its secretary general was also issued.

A total of 763 people were killed and 2,472 were injured in 733 accidents on roads, waterways and railways across the country.

Besides, 274 people died and 328 others were injured in some 305 motorbike accidents across the country last month which is 44.65% of the total accidents and 38.70% of the total fatalities.

Dhaka division witnessed highest 155 road accidents with 179 fatalities and 305 injuries while Barisal witnessed the lowest 35 road accidents with as many deaths.

Among those killed in road accidents in April, 10 were members of law enforcement agencies, 169 were drivers, 63 were pedestrians, 58 were transport workers, 46 students, six teachers, 119 women, 67 children, three journalists, two physicians, one lawyer, three engineers and eight activists of different political parties.

Among the vehicles involved in the accidents were 34.71% motorbikes, 15.48% buses, 17.61% pick-up vans, covered vans and lorries, 6.27% private cars, SUVs and microbuses, 5.97% CNG-run auto-rickshaws, 13.15% battery-run human haulers and 6.78% three-wheeler vehicles, said the report.

Of the accidents, 35.28% occurred on national highways, 14.78% on regional roads and 42.45% on roads. Besides, 6.58% accidents occurred in Dhaka city, 0.43% in Chittagong city and 0.43% on rail tracks, it added.

The association blamed reckless driving, motorbikes and three-wheelers on highways, lack of street lights, road marking or road sign, development of cracks and holes on highways during rainy season, movement of unfit vehicles, violation of traffic rules, unskilled drivers and helpers, collecting tolls and poor traffic management for the accidents and deaths.",General,General
Odd Signature vocalist Piyal among two killed in Narshingdi road crash,https://www.dhakatribune.com/bangladesh/346208/odd-signature-vocalist-piyal-killed-in-road,11/5/2024,"At least two people, including the vocalist of the musical band Odd Signature, were killed in a head-on collision between a bus and a microbus in Narsingdi.

The deceased have been identified as Ahasan Tanvir Piyal, 26, and the microbus driver Abdus Salam, 43.

Three other members of the band were also injured in the crash. They are Sakin, 26, Aqib, 26, and Amitabh, 27.

The incident took place in front of Dream Holiday Park in Panchdona at around 5am.

The band was heading towards Sylhet to perform in a program at MC College.

Itakhola Highway police station Officer-in-Charge (OC) Mohammad Ilyas Hossain said: ""The bodies of the two deceased are being sent to Narsingdi Sadar Hospital morgue for autopsy. Efforts are underway to contact their relatives. Further legal action will be taken if they come.”

Police said the bus that collided with the microbus belonged to Hanif Paribahan. The bus was seized from the Bhulta area. However, its driver is absconding.

Abdus Salam, the driver of the microbus, and Ahasan Tanvir Piyal, who was sitting next to him, were killed on the spot. Locals rescued three injured band members from the microbus and sent them to a local hospital.

After getting information, the members of the Madhabdi Fire Service recovered the two bodies.

Khairul Alam, station officer of Madhabdi Fire Service, said: ""We reached the spot and recovered the two bodies. Earlier, the locals rescued the injured and sent them to the hospital.”",Specific,Specific<sep>11 May 2024<sep>11 May 2024<sep>around 5am<sep>2<sep>3<sep>in front of Dream Holiday Park in Panchdona<sep>Highway<sep>No<sep>bus-microbus<sep>Narsingdi
3 killed as truck rams auto-rickshaw in Sherpur,https://www.dhakatribune.com/bangladesh/nation/345947/3-killed-as-truck-rams-auto-rickshaw-in-sherpur,8/5/2024,"Three passengers of an autorickshaw were killed and three others injured as a truck rammed the vehicle in Paiska Bypass area of Sherpur's Nakla upazila on Tuesday.

Nakla police station Officer-in-Charge (OC) Abdul Quader Mia confirmed the casualty in the road accident.

The deceased are Raja Mia, 55, Zabeda Begum, 75, and Abeda Khatun, 50.

Among the injured, Sultana, 45, has been admitted to Sherpur District Hospital.

The other two have been admitted to Nakla Upazila Health Complex and Mymensingh Medical College Hospital.

According to police sources, a speeding truck overturned an auto-rickshaw in Paiska Bypass area of ​​Nakhla around 9:30pm on Tuesday. Auto-rickshaw passenger Raja Mia and his mother-in-law Zabeda Begum died on the spot.

OC Abdul Quader Mia said: ""Two died on the spot. Abeda Khatun died on the way to Mymensingh Medical College Hospital. The autorickshaw passengers were returning from a namaz-e-janaza in Phulpur.”",Specific,Specific<sep>08 May 2024<sep>07 May 2024<sep>9:30pm<sep>3<sep>3<sep>Paiska Bypass area of Sherpur's Nakla upazila<sep>Not mentioned<sep>No<sep>truck-auto-rickshaw<sep>Sherpur
3 of a family killed in Munshiganj road accident,https://www.dhakatribune.com/bangladesh/nation/345577/3-of-same-family-killed-in-munshiganj-road,4/5/2024,"Three members of the same family were killed while two others were injured in a road accident in the Gazaria section of Munshiganj on the Dhaka-Chittagong highway.

The incident took place in front of Mana Bay water park in Baushia area of ​​the upazila around 1:45am on Saturday.

The deceased are Alamgir Hossain, 50, son of Hossain Ali Bepari of Kadra village in Shahrasti upazila of Chandpur, his younger son Zahirul Islam, 30, and his maternal aunt Rahela Begum, 50.

The injured are Alamgir Hossain's elder son Nazrul Islam, 35, and driver Ibrahim Khalil Sujan, 32.

Ghazaria highway police outpost in-charge Md Humayun Kabir said: “The bodies are currently in the police outpost. Efforts are on to identify the covered van. Legal action in this regard is under process.”

He also said: “A car carrying them to Dhaka was hit by a covered van from behind when it came in front of the Mana Bay water park early Saturday. The car fell into the ditch on the side of the road. At that time, three people including Alamgir Hossain died on the spot. The fire service workers rescued the two injured including the driver and sent them to the upazila health complex.”",Specific,"Specific<sep>04 May 2024, 10:38 AM<sep>04 May 2024<sep>1:45am<sep>3<sep>2<sep>Gazaria section of Munshiganj on the Dhaka-Chittagong highway, in front of Mana Bay water park in Baushia area<sep>Highway<sep>No<sep>car-covered van<sep>Munshiganj"
BRTA: Road accidents claimed 632 lives in April,https://www.dhakatribune.com/bangladesh/346218/brta-632-killed-in-658-road-accidents-in-april,11/5/2024,"A total of 632 people were killed, and 866 people were injured in 658 road accidents across Bangladesh during Ramadan and Eid in April.

This information was revealed in the monitoring report of the Bangladesh Road Transport Authority (BRTA) on Thursday.

According to reports, the statistics on national road accidents were collected through the regional offices of BRTA.

According to the statistics, the most road accidents occurred in the Chittagong division, with 135 accidents resulting in 123 deaths and 227 injured. Following Chittagong, the Dhaka division recorded 108 accidents with 115 fatalities and 157 injured.

Additionally, in the Rajshahi division, there were 100 accidents with 93 deaths and 112 injured; in the Khulna division, 98 accidents with 87 deaths and 95 injured; in the Barisal division, 45 accidents with 49 deaths and 64 injured; in the Sylhet division, 34 accidents with 38 deaths and 64 injured; in the Rangpur division, 68 accidents with 65 deaths and 64 injured; and in the Mymensingh division, 70 accidents with 62 deaths and 83 injured.

In terms of fatalities, motorcycles were involved in the most accidents, with 252 leading to 191 deaths. Following closely behind were trucks and covered vans, with 170 accidents resulting in 62 fatalities.",General,General
9 killed as truck plunges into ditch in Rangamati,https://www.dhakatribune.com/bangladesh/nation/344816/six-killed-as-truck-plunges-into-ditch-in-sajek,24-04-2024,"At least nine people were killed and five others critically injured as a truck plunged into a ditch in the 90 degree area of Sajek Udaipur border road in Baghaichhari of Rangamati on Wednesday.

The tragic road crash took place around 5pm.

The identities of the deceased workers could not be known yet.

The injured were rescued and sent to Dighinala Health Complex in Khagrachari with the help of Army and BGB.

Baghaichhari Upazila Nirbahi Officer Shirin Akter confirmed the accident and said that six workers died on the spot after falling into a mountain ditch on their way back after work.

Among them, three succumbed to their injuries at hospitals.

Baghaichhari Circle Officer, Senior Assistant Superintendent of Police Abdul Awal Chowdhury said that on the way back in a truck after work on the border road, the vehicle lost control and plunged into a 100-foot-deep ditch.

After getting the news from the locals, the police were sent to the spot, he added.

The victims were engaged in road construction work along the Udaipur border, said the UNO.",Specific,Specific<sep>24 Apr 2024<sep>24 Apr 2024<sep>5pm<sep>9<sep>5<sep>Sajek Udaipur border road in Baghaichhari<sep>Border road<sep>No<sep>truck<sep>Rangamati
"Bus driver’s drowsiness, speeding killed 15 people in Faridpur crash",https://www.dhakatribune.com/bangladesh/344579/report-bus-driver%E2%80%99s-drowsiness-killed-15-people,22-04-2024,"The seven-member probe body formed to investigate the road accident in Faridpur on April 16 that killed 15 people has identified that the speed of both the bus and the pickup van and the drowsiness of the bus driver were the reasons behind the road crash.

The committee, headed by Faridpur Additional District Magistrate Md Ali Siddiqui, submitted the report to Deputy Commissioner Md Quamrul Ahsan Talukder on Sunday afternoon.

DC Qamrul Talukder said the committee will forward the report to the higher authorities to take measures as per the report.

Probe committee head Md Ali Siddiqui said: “We talked to people from all departments concerned about the accident. I visited the spot and tried to find out why this tragic accident occurred. I tried to make some recommendations to prevent deaths in road crashes.”

The report blames the bus driver's drowsiness due to driving for a long time during Eid and the overspeeding of the bus and the pickup van for the fatal accident.

The report also put forward some recommendations to prevent such road accidents.

All those driving on the roads or highways should know and abide by the relevant laws. Road dividers should be in place or roads would be widened in accident-prone areas, drivers of vehicles should not drive without a break, autorickshaws or small risky vehicles should not be allowed on the highways, said the report.

On April 16, at least 15 people, including six women and two children, were killed and 15 others were injured in a head-on collision between the bus and the pickup van on the Dhaka-Khulna highway in Sadar upazila.

All the victims were passengers of the pickup van, although carrying passengers in pickup vans or trucks is prohibited in the country.

The deceased included five members of a family.

Later, the Rapid Action Battalion (RAB) arrested bus driver Khokan Mia from Jhenaidah.A case was filed against the bus driver with Kotowali police station in this regard.",Specific,Specific<sep>22 Apr 2024<sep>16 Apr 2024<sep>Not mentioned<sep>15<sep>15<sep>Dhaka-Khulna highway in Kanaipur union under Faridpur Sadar upazila<sep>Highway<sep>No<sep>bus-pickup van<sep>Faridpur
Accident near Dhaka Airport: Bus driver detained from Barisal,https://www.dhakatribune.com/bangladesh/nation/344415/accident-near-dhaka-airport-bus-driver-detained,20-04-2024,"The Rapid Action Battalion (RAB) detained the driver of the Raida Paribahan bus that rammed a motorcycle near Hazrat Shahjalal International Airport in Dhaka killing an engineer of the Civil Aviation Authority of Bangladesh on Friday.

The bus struck the motorcycle before crashing through the outer wall in front of the airport’s third terminal.

RAB-8 Commanding Officer Lt Col Kazi Zubaer Alam Shovon said that a joint team of RAB-8 and RAB-1 arrested Mahmud Hasan from Barisal and was taken to Dhaka.

Following the accident, the driver went into hiding in Barisal.

Airport Police Station Sub-inspector Suman Chandra Das said that the bus lost control and wrecked the security boundary of the third terminal. At that time, Maidul Islam, 40, a senior sub-assistant engineer of civil aviation, was riding his motorcycle on the road. The bus rammed his motorbike as well.

Later, he was taken to Kurmitola General Hospital with critical injuries where he was declared dead by the doctor on duty, he added.",Specific,Specific<sep>20 Apr 2024<sep>19 Apr 2024<sep>Not mentioned<sep>1<sep>Not mentioned<sep>near Hazrat Shahjalal International Airport<sep>road<sep>Yes<sep>bus-motorcycle<sep>Dhaka
2 killed as bus rams auto-rickshaw in Chittagong,https://www.dhakatribune.com/bangladesh/nation/344404/2-killed-as-bus-rams-auto-rickshaw-in-chittagong,20-04-2024,"Two people were killed and four others injured when a bus rammed into a CNG-run auto-rickshaw on Dhaka-Cox’s Bazar highway in Patiya upazila of Chittagong district on Friday night.

The deceased were identified as Abu Bakkar Tasif, 18, of Chandanaish upazila and Nurul Amin, 27 of Cox’s Bazar district.

Toufiqul Islam, officer-in-charge of Patiya Crossing Highway Police said the accident occurred near Kharna Chairman Ghat area around 10 pm when the Chittagong-bound “Marsa Paribahan” hit a CNG-run auto-rickshaw, leaving six people injured.

Later, they were taken to Chandanaish BGS Trust Hospital where the doctors declared two of them dead.",Specific,"Specific<sep>20 Apr 2024<sep>19 Apr 2024<sep>10 pm<sep>2<sep>4<sep>Kharna Chairman Ghat area, Patiya upazila<sep>Dhaka-Cox’s Bazar highway<sep>No<sep>bus-auto-rickshaw<sep>Chittagong"
1 killed as bus wrecks Dhaka airport third terminal’s boundary wall,https://www.dhakatribune.com/bangladesh/dhaka/344363/bus-breaks-airport-third-terminal%E2%80%99s-boundary-1,19-04-2024,"A local bus, named Raida Paribahan, toppled the boundary wall of Hazrat Shahjalal International Airport's third terminal after killing a motorcyclist in Dhaka.

The accident took place in front of the Dhaka Elevated Expressway at around 10am on Friday.

Airport Police Station Sub-inspector Suman Chandra Das said that the bus lost control and wrecked the security boundary of the third terminal. At that time, Maidul Islam, senior sub-assistant engineer of civil aviation, was riding his motorcycle on the road. The bus rammed his motorbike as well.

Later, he was taken to Kurmitola General Hospital with critical injuries where he was declared dead by the doctor on duty, he added.

He also said that the body had been sent to Dhaka Medical College Hospital morgue for autopsy. The bus driver and helper involved in the incident escaped. But the bus has been impounded. Legal proceedings in this regard are ongoing.",Specific,Specific<sep>19 Apr 2024<sep>19 Apr 2024<sep>10am<sep>1<sep>0<sep>Dhaka airport third terminal<sep>Road<sep>No<sep>bus-motorbike<sep>Dhaka
"Truck driver, helper sent to jail over Jhalakathi road fatalities",https://www.dhakatribune.com/bangladesh/nation/344332/truck-driver-helper-sent-to-jail-over-jhalakathi,18-04-2024,"A Jhalokathi court has sent the truck driver and his helper to jail in a case filed over a road accident that left 14 people dead near Gabkhan Bridge in the Jhalakathi municipality area on Wednesday.

Senior Judicial Magistrate Moniruzzaman passed the order on wednesday after driver Al-Amin Hawlader, 29, and his assistant Nazmul Sheikh, 22, were produced before him, said Court Police Inspector Kamruzzaman.

Earlier in the day, Hadiur Rahman, younger brother of one of the dead, Hasibur Rahman, lodged the case under Section-105 of the Road and Transport Act at Jhalakathi Sadar police station against the two arrestees.

Jhalakathi Detective Branch of Police Officer-in-Charge (OC) Moniruzzaman said that after the incident, with the help of locals, the driver and the helper of the truck were detained from village Basanda, three kilometers away from the incident site.

Jhalakathi Sadar police station OC Shahidul Islam said that the arrested Al Amin did not have a license to drive the heavy vehicle.

“He was driving with a license for driving light vehicles,” he added.

The accident took place at around 1:30pm on Wednesday when the Barisal-bound cement-laden truck ploughed through five vehicles, including a microbus carrying a bridal party, three auto-rickshaws, and one pickup van standing in front of the toll gate near Gabkhan Bridge.

It then fell into a roadside ditch, leaving fourteen people dead and 25 others injured. The microbus and the auto-rickshaw were badly crushed.

Eight people died on the spot, four succumbed to their injuries at Jhalakathi Sadar Hospital and two others at Barisal Sher-e-Bangla Medical College Hospital.

Moreover, two injured passengers are undergoing treatment at Jhalakathi Sadar Hospital and another nine at Barisal Sher-e Bangla Medical College Hospital.",Specific,"Specific<sep>18 Apr 2024, 11:36 PM<sep>Wednesday, April 17, 2024<sep>1:30pm<sep>14<sep>25<sep>near Gabkhan Bridge in the Jhalakathi municipality area<sep>Not mentioned<sep>No<sep>truck-microbus-auto-rickshaws-pickup van<sep>Jhalakathi"
"Road accidents: 320 killed in a year on Dhaka-Khulna, Barisal highways",https://www.dhakatribune.com/bangladesh/nation/344408/road-accidents-320-killed-in-a-year-on,20-04-2024,"Roads in Bangladesh have become more dangerous, with fatalities and injuries almost every day, and the two highways from Dhaka to Khulna and Barisal are two of those that have witnessed 320 fatalities in the past year.

Unskilled drivers, over-speed, negligence of authorities concerned and rules violation are blamed for the frequent road accidents on highways, although the highway police claimed that several measures have been taken to reduce road accidents.

The recent deadly road crash on Dhaka-Khulna highway that claimed 15 lives raised questions about whether these measures were adequate to control the fatal accidents.

On April 16, 15 people including five members of a family, died in a collision between a bus and a pick-up van on Dhaka-Khulna highway at Kanaipur, Faridpur district.

A five-member probe body was formed to investigate the accident and two more members, including an expert from Buet, were also included in the committee, headed by Additional district Magistrate Ali Siddique.

The committee was asked to submit its report within three working days. At least one representative from the Roads and Highways division, Highway police, district police and Fire Service were also included in the committee.

National Committee to protect Shipping, Roads and Railways (NCPSRR) said the authorities concerned, including police and BRTA, cannot avoid responsibility for the Faridpur road crash on Dhaka-Khulna highway.

Condemning the authorities’ negligence, the NCPSRR said although carrying passengers on trucks, pick-up vans and good- laden vehicles is prohibited the vehicle was heading towards Dhaka from Faridpur’s Boalmari with 25-30 passengers on board.

On March 8, three people died and ten others were injured when a bus overturned on Dhaka-Barisal highway in Bhanga.

Besides, nine people died in separate accidents in January.

Roads and Highways division and highway police blame over-speed, unskilled drivers, reckless plying of motorbikes and pedestrians’ desperate bid to cross the highways behind the accidents and fatalities.

According to Faridpur Highway Police sources, the length of the Bangabandhu Expressway from Jatrabari in Dhaka to Bhanga in Faridpur is 55 kilometers. Of these, 32 kilometers are from Jatrabari to Padma Bridge and 23 kilometers from Janjira to Bhanga.

In the last year, 131 people were killed in 135 accidents on the expressway, and of these, 63 accidents occurred in Bhanga portion that claimed the lives of 67 people.

There are five highway police stations, one police outpost, and two camps under the 381 km highway in Madaripur region.

Shahinur Alam Khan, superintendent of Madaripur Region highway police, said a number of measures have been taken to prevent road crashes.

In the past one year, 28,404 cases were filed, and Tk9.43 crore was fined for reckless driving on the two highways, said the SP.

Besides, 271 cases were filed in 432 road accidents on the Dhaka-Khulna and Dhaka-Barisal highways, he said.

Morshed Alam, superintendent of Faridpur police, said the owners and transport workers must play a big role alongside the passengers to stop accidents on highways.

Besides, the residents along the highways have to be more responsible while using highways, he said.",General,General
Couple killed in Naogaon bike collision,https://www.dhakatribune.com/bangladesh/nation/344200/couple-killed-in-naogaon-bike-collision,17-04-2024,"A couple was killed while two others including the couple's son were injured in the collision between two motorcycles in Sahapur area of Naogaon Sadar.

The accident took place on Wednesday around 11:30am, according to Mahmudul Hasan, Deputy Assistant Director of Naogaon Fire Service Civil Station.

The deceased are Enamul Haque, 40, son of Akram of Raikali village of Akkelpur upazila of Joypurhat and his wife Bristy Khatun, 32. Enamul Haque was a member of Bangladesh Ansar.

The injured are Junaid Islam, 5, son of the deceased couple, and another motorcycle rider, Sirajul Islam, 50.

Deputy Assistant Director Mahmudul Hasan said that according to eyewitnesses, the couple along with their son, were going to Bogra from Naogaon on a motorcycle. Another motorcycle coming from the opposite direction lost control and hit them.

“They fell on the road and were hit by a pick-up van coming from behind. The husband and wife died on the spot.""

Zahidul Haque, OC of Naogaon Sadar Model police station, said that the site is being inspected.

The injured child Junaid and another motorcycle rider were rescued and admitted to Naogaon General Hospital. Currently, both of them are undergoing treatment.

The police said that the bodies will be handed over to the relatives after completing legal process.",Specific,Specific<sep>17 Apr 2024<sep>17 Apr 2024<sep>11:30am<sep>2<sep>2<sep>Sahapur area of Naogaon Sadar<sep>Road<sep>No<sep>motorcycle-motorcycle-pick-up van<sep>Naogaon
Ensuring road safety should never take a backseat,https://www.dhakatribune.com/opinion/editorial/344172/ensuring-road-safety-should-never-take-a-backseat,17-04-2024,"It is unfortunate how the Eid holidays in Bangladesh have once again highlighted the pressing issue of road safety in the country; according to a report by Dhaka Tribune, road crashes claimed the lives of 34 individuals during this period.

To say that there is an urgent need for enhanced safety measures would be an understatement, but with this spike in deaths during holidays becoming a most undesirable norm, safety measures are particularly salient during major holidays.

Bangladesh has long been struggling with a high rate of road traffic accidents, with holidays often exacerbating the situation. Factors such as reckless driving, inadequate road infrastructure, and lax enforcement of traffic laws have further compounded the risks faced by commuters as well as pedestrians during these times.

Immediate action is the need of the hour, from both the government and the public. It starts with the government truly prioritizing road safety. Investing in better infrastructure is the logical first step, including the expansion and improvement of road networks. Too often, it is our inadequate roads and highways that cause the issues.

With that said, arguably the worst offense continues to be the presence of unfit vehicles on the road combined with unfit drivers, those without licenses and proper training. It is mind boggling how, despite repeated calls to address and fix the issue, this continues to not only persist but arguably worsen with time. Stricter enforcement of traffic laws and harsh penalties for offenders are essential to deter reckless driving behaviours, and it is disheartening how we fail to ensure this time and time again.

The recent spate of road crashes during the Eid holidays serves as a stark reminder of the urgent need for enhanced road safety measures in Bangladesh. There can be no Smart Bangladesh if our people keep dying on the roads.",General,General
"Education office official killed, another official's leg amputated in Lohagara bus crash",https://www.prothomalo.com/bangladesh/district/9e893suibo,5/10/2024,"&lt;p&gt;An official of the education office was killed after being hit by a passenger bus in Lohagara upazila of Narail. The accident took place on the Dhaka-Jesore highway in Maitkumra area of ​​Lohagara Municipality at around seven o'clock this Saturday. Local residents blocked the highway after the incident.&lt;/p&gt;&lt;p&gt; Name of the deceased officer. Rifatul Islam (38). He is the son of deceased Belayet Hussain of Kundashi village of Lohagara Municipality. He was working as assistant inspector in Gopalganj district secondary education officer's office.&lt;/p&gt;.&lt;p&gt;Another officer of BCS education cadre named Azad Mia was seriously injured in the accident. He is working on a project of the Ministry of Education. His right leg was amputated in the accident. He is being taken to Dhaka for better treatment. The injured Azad Mia is the son of Shahabuddin Mia of Doamallikpur village in Upazila. Another rider of that motorcycle, Jiku Mia (26), is unharmed. &lt;/p&gt;&lt;p&gt;It is known that after talking to the police, local residents and some eyewitnesses, the three were going to Bhatiapara junction in Gopalganj on a motorcycle. On the way, their motorcycle collided head-on with a bus of Sohag Paribahan traveling to Narail. Deceased Rifatul Islam was driving the motorcycle. Azad Mia was sitting in the middle of the motorcycle and Ziku Mia was sitting behind. The motorcycle was crushed in the accident. Rifatul was recovered dead from the spot.&lt;/p&gt;.&lt;p&gt;Ziku Mia, the rider of that motorcycle, told Prothom Alo that Azad Mia was supposed to go to Dhaka. For this, the three of them were going to Bhatiapara intersection on a motorcycle to drop him on the Dhaka bus. Azad Miah is the uncle of the deceased Rifatul. Azad's elder brother Helal Mia said that Azad's condition is critical. He is being taken to Dhaka.&lt;/p&gt;.&lt;p&gt;Meanwhile, local people blocked the highway at that place for about an hour after the accident. Traffic stopped on the Dhaka-Jesore highway. Numerous vehicles were stuck on both sides of the road. Later, army and police personnel went to the spot and brought the situation under control.&lt;/p&gt;&lt;p&gt;Inspector (Investigation) Abdullah Al Mamun, who is in charge of the officer in charge (OC) of Lohagra police station, told Prothom Alo that measures are being taken to arrest the driver of the vehicle of Sohag Paribahan. . The body of the deceased has been handed over to the family.&lt;/p&gt;",Specific,"Specific<sep>05 অক্টোবর ২০২৪<sep>05 অক্টোবর ২০২৪<sep>সন্ধ্যা সাতটার দিকে<sep>1<sep>1<sep>লোহাগড়া পৌরসভার মাইটকুমড়া এলাকায়, ঢাকা-যশোর মহাসড়ক<sep>Highway<sep>No<sep>Bus-motorcycle<sep>Narael"
A policeman was killed in a collision between a truck and a motorcycle in Sylhet,https://www.prothomalo.com/bangladesh/district/z0nigj497g,5/10/2024,"&lt;p&gt;A policeman was killed in a collision between a truck and a motorcycle in Sylhet. The accident took place in the Salutikar Chalia area of ​​the Sylhet-Kompaniganj-Bholaganj highway on Friday evening. He was working in the Industrial Police (Sylhet region).&lt;/p&gt;.&lt;p&gt;According to the police and local residents, Atiqur was coming towards Sylhet from Companyganj on a motorcycle along with another policeman. On the way, the motorcycle collided with a truck when it reached Salutikar Chalia area. Atikur died on the spot. Another policeman who was with him was injured. &lt;/p&gt; Anisur Rahman told Prothom Alo that the truck driver fled immediately after the incident. However, the truck was seized and taken to the police station. Atikur's body has been sent to Sylhet MAG Osmani Medical College Hospital morgue. It will be handed over to the family at the end of the legal process.&lt;/p&gt;",Specific,"Specific<sep>05 অক্টোবর ২০২৪<sep>04 অক্টোবর 2024<sep>সন্ধ্যা<sep>1<sep>1<sep>সালুটিকর ছা‌লিয়া এলাকা, সিলেট-কোম্পানীগঞ্জ-ভোলাগঞ্জ মহাসড়ক<sep>Highway<sep>No<sep>Truck-motorcycle<sep>Sylhet"
